"","shp"
"1",2.52631578947368
"2",2.15
"3",1.96
"4",2
"5",2.35
"6",2.17391304347826
"7",1.81818181818182
"8",2.3
"9",2.55555555555556
"10",2.38095238095238
"11",1.84210526315789
"12",1.94444444444444
"13",1.76470588235294
"14",2.31578947368421
"15",2
"16",2.15
"17",2.38888888888889
"18",2.35
"19",2.35294117647059
"20",2.64705882352941
"21",1.95
"22",2.25
"23",2.05263157894737
"24",2.11111111111111
"25",1.73913043478261
"26",2.45
"27",1.82608695652174
"28",1.875
"29",1.84
"30",1.83333333333333
"31",1.95652173913044
"32",1.92307692307692
"33",2
"34",1.95652173913044
"35",2.04545454545455
"36",1.7
"37",1.875
"38",2.21052631578947
"39",1.76
"40",2.47058823529412
"41",2.26086956521739
"42",1.8695652173913
"43",2.08
"44",1.77777777777778
"45",2.42105263157895
"46",1.5
"47",2.1
"48",1.95454545454545
"49",1.44444444444444
"50",1.79166666666667
"51",2.15
"52",1.95238095238095
"53",2
"54",2.73333333333333
"55",2.15
"56",2.3
"57",2.09090909090909
"58",2.23529411764706
"59",1.88235294117647
"60",2.05
"61",2
"62",1.9047619047619
"63",2.27777777777778
"64",2.21052631578947
"65",2.75
"66",2.69230769230769
"67",2
"68",3
"69",2.77777777777778
"70",3.53333333333333
"71",2.36842105263158
"72",3.07142857142857
"73",1.95
"74",2.76923076923077
"75",2.5
"76",1.08333333333333
"77",2.6
"78",2.5
"79",2.61111111111111
"80",2.42857142857143
"81",2.38888888888889
"82",2.92307692307692
"83",2.33333333333333
"84",1.88
"85",2.04545454545455
"86",2.04761904761905
"87",2.15
"88",2.26315789473684
"89",2.25
"90",1.89473684210526
"91",2.25
"92",2.1875
"93",2.22222222222222
"94",2.5
"95",2.10526315789474
"96",2.10526315789474
"97",2.10526315789474
"98",1.73684210526316
"99",2
"100",2.18181818181818
"101",1.9
"102",3.33333333333333
"103",1.73913043478261
"104",1.95833333333333
"105",1.85714285714286
"106",2.08695652173913
"107",2.25
"108",2
"109",1.78260869565217
"110",1.78571428571429
"111",1.91304347826087
"112",1.88
"113",2.08333333333333
"114",1.66666666666667
"115",2
"116",1.76
"117",1.8
"118",1.72727272727273
"119",1.8
"120",1.875
"121",1.91304347826087
"122",2.27272727272727
"123",1.85185185185185
"124",1.56521739130435
"125",1.8
"126",2.15
"127",1.78260869565217
"128",1.41666666666667
"129",2
"130",1.81818181818182
"131",1.82608695652174
"132",1.8
"133",1.74074074074074
"134",1.75
"135",1.52173913043478
"136",1.5
"137",1.73913043478261
"138",1.81818181818182
"139",2.2
"140",1.75
"141",1.81818181818182
"142",2.05
"143",1.9047619047619
"144",1.95652173913044
"145",1.76
"146",1.59090909090909
"147",1.9047619047619
"148",2.46666666666667
"149",1.95833333333333
"150",1.75
"151",1.81818181818182
"152",1.9047619047619
"153",2.23529411764706
"154",2.3
"155",1.9047619047619
"156",2.82352941176471
"157",2.47058823529412
"158",1.94444444444444
"159",2.5
"160",2.52941176470588
"161",2.15
"162",2.26315789473684
"163",3.16666666666667
"164",1.77272727272727
"165",2.05
"166",2.04761904761905
"167",1.63157894736842
"168",2.35
"169",2.1
"170",1.95652173913044
"171",2.05882352941176
"172",2.25
"173",2.25
"174",2.25
"175",3
"176",1.75
"177",2.1
"178",2
"179",2
"180",2.15
"181",1.8
"182",3
"183",2.6875
"184",2.9375
"185",2.15
"186",2.625
"187",2.33333333333333
"188",2
"189",2
"190",1.76190476190476
"191",2.125
"192",2.05882352941176
"193",2.64705882352941
"194",2
"195",2.41176470588235
"196",2.11111111111111
"197",2.05882352941176
"198",2.25
"199",3
"200",1.875
"201",2.55
"202",2.21052631578947
"203",2.11111111111111
"204",1.88235294117647
"205",1.88235294117647
"206",2.38888888888889
"207",2.44444444444444
"208",1.94117647058824
"209",1.82352941176471
"210",2.4
"211",2.66666666666667
"212",2.6875
"213",0.866666666666667
"214",2
"215",2.08695652173913
"216",2
"217",2.23809523809524
"218",1.95
"219",2.33333333333333
"220",2.17647058823529
"221",1.85714285714286
"222",2
"223",2.5
"224",2
"225",1.85
"226",2.35
"227",2.04545454545455
"228",2.22222222222222
"229",2.8125
"230",2.4375
"231",2.58823529411765
"232",2.5
"233",1.84210526315789
"234",2.16666666666667
"235",2.05555555555556
"236",2
"237",2.25
"238",2.05555555555556
"239",2.05555555555556
"240",2.23529411764706
"241",2.27777777777778
"242",1.63157894736842
"243",2.64705882352941
"244",3
"245",3
"246",2.64705882352941
"247",1.8
"248",2.25
"249",2.5
"250",1.95652173913044
"251",1.5
"252",1.18421052631579
"253",2.25
"254",1.28571428571429
"255",3.46153846153846
"256",2.5
"257",2.36842105263158
