"","shp"
"1",2.25
"2",1.8
"3",2.2
"4",2.25
"5",2.5
"6",2.25
"7",2.15
"8",2.25
"9",2
"10",1.9
"11",2
"12",2.45454545454545
"13",2.47619047619048
"14",2.15
"15",2.33333333333333
"16",2.33333333333333
"17",2.91666666666667
"18",2.33333333333333
"19",2.05882352941176
"20",2.1
"21",2.33333333333333
"22",1.875
"23",1.75
"24",2
"25",1.875
"26",1.5
"27",2
"28",2.14285714285714
"29",2
"30",2.33333333333333
"31",2.33333333333333
"32",1.25
"33",2
"34",2
"35",2.66666666666667
"36",2
"37",1.88888888888889
"38",2
"39",2
"40",2.25
"41",1.5
"42",1.8
"43",2.25
"44",2.25
"45",2
"46",2.125
"47",2.25
"48",1.85714285714286
"49",2.25
"50",3.33333333333333
"51",1.6
"52",1.81818181818182
"53",1.66666666666667
"54",2
"55",2.61904761904762
"56",2.3
"57",2.05
"58",2.3
"59",1.8
"60",2
"61",1.81818181818182
"62",1.5
"63",2
"64",2.25
"65",1.75
"66",2
"67",1.95
"68",1.75
"69",2
"70",1.8
"71",1.73913043478261
"72",2
"73",1.66666666666667
"74",2.04545454545455
"75",1.95
"76",2.10526315789474
"77",2
"78",2.375
"79",2
"80",1.8
"81",1.77777777777778
"82",2
"83",2
"84",2.11111111111111
"85",1.875
"86",2
"87",2
"88",1.875
"89",2.29166666666667
"90",2
"91",2.25
"92",1.8
"93",2.17391304347826
"94",1.82608695652174
"95",2.12
"96",1.91304347826087
"97",1.81818181818182
"98",1.90909090909091
"99",2
"100",2
"101",2.125
"102",1.875
"103",2
"104",2.85714285714286
"105",2
"106",2.5
"107",1.8
"108",2.28571428571429
"109",2.125
"110",2
"111",2
"112",2
"113",1.4
"114",2
"115",2.25
"116",2
"117",2
"118",2.5
"119",1.33333333333333
"120",2
"121",2.5
"122",2.25
"123",2
"124",1.5
"125",2.25
"126",2
"127",2
"128",2.5
"129",2
"130",2
"131",2
"132",2
"133",1.75
"134",1.75
"135",3
"136",2
"137",1.8
"138",1.95
"139",2.38888888888889
"140",2.4
"141",2
"142",2.04545454545455
"143",2
"144",2.3
"145",2
"146",2.05
"147",2.15
"148",2.25
"149",1.55
"150",2.25
"151",2.15
"152",2.1
"153",2.05
"154",2
"155",2
"156",2.8
"157",2.8
"158",2.8
"159",3
"160",4
"161",2
"162",4
"163",4
"164",4
"165",2.66666666666667
"166",3
"167",1.4
"168",1.8
"169",2
"170",2
"171",2
"172",2
"173",2
"174",1.75
"175",3
"176",2
"177",2.11111111111111
"178",2.11111111111111
"179",1.875
"180",1.8
"181",2
"182",1.8
"183",2
"184",2.125
"185",2
"186",2.22222222222222
"187",1.88888888888889
"188",2
"189",2
"190",1.8
"191",2
"192",1.9
"193",1.5
"194",2
"195",1.8
"196",1.6
"197",2.04545454545455
"198",2.17391304347826
"199",2.5
"200",2.25
"201",2.25
"202",2.25
"203",2.25
"204",2
"205",1.95652173913044
"206",1.875
"207",1.95652173913044
"208",2.13636363636364
"209",2
"210",2.15
"211",2
"212",2.15
"213",2.04545454545455
"214",1.75
"215",1.75
"216",1.6
"217",1.77777777777778
"218",1.77777777777778
"219",1.77777777777778
"220",4.5
"221",4.5
"222",3.5
"223",4.5
"224",4
"225",3
"226",4
"227",3.5
"228",4
"229",4
"230",3
"231",4
"232",3.5
"233",3.5
"234",2.66666666666667
"235",3
"236",3.5
"237",4
"238",4
"239",4.5
"240",4
"241",4
"242",4
"243",3
"244",2
"245",3.5
"246",2.5
"247",2.25
"248",2.25
"249",1.8
"250",2.25
"251",2
"252",1.75
"253",2
"254",2.25
"255",2.25
"256",2.25
"257",2.25
"258",2
"259",2
"260",2
"261",2
"262",2.25
"263",2
"264",2
"265",2.25
"266",2.5
"267",2.5
"268",2.5
"269",2.25
"270",1.8
"271",2
"272",2
"273",1.75
"274",2.25
"275",2
"276",1.75
"277",2.25
"278",2.25
"279",2.25
"280",2
"281",2
